id	sector	guksa_id	equip_type	equip_model	equip_name	equip_id
12411	MW	623	IP-20	IP-20N	하태도_통합형-0101-02_IP-20N-8G-(1/2/3/4/5)	하태도_통합형-0101-02_IP-20N-8G-(1/2/3/4/5) 
12412	MW	576	CTR	CTR-8312	상태도_MDM-0101-02_CTR-8312-11G-(1/2)	상태도_MDM-0101-02_CTR-8312-11G-(1/2) 
12413	MW	613	CTR	CTR-8312	중태_MDM-0101-01_CTR-8312-11G-(1/2)	중태_MDM-0101-01_CTR-8312-11G-(1/2) 
12414	MW	628	IP-20	IP-20N	흑산도_톨합형-0312-01_IP-20N-8G-(1/2/3/4)	흑산도_톨합형-0312-01_IP-20N-8G-(1/2/3/4) 
12415	MW	625	IP-20	IP-20N	홍도_통합형-0105-01_IP-20N-8G-(1/2/3/4)	홍도_통합형-0105-01_IP-20N-8G-(1/2/3/4) 
12416	MW	542	IP-20	IP-20N	가거도_통합형-0102-01_IP-20N-8G-(1/2/3/4)	가거도_통합형-0102-01_IP-20N-8G-(1/2/3/4) 
12417	MW	623	IP-20	IP-20N	하태도_통합형-0302-01_IP-20N-8G-(1/2/3/4)	하태도_통합형-0302-01_IP-20N-8G-(1/2/3/4) 
12418	MW	558	IP-20	IP-20N	도초중_통합형-0207-01_IP-20N-11G-(1/2)	도초중_통합형-0207-01_IP-20N-11G-(1/2) 
12419	MW	575	IP-20	IP-20N	상수치_통합형-0101-01_IP-20N-11G-(1/2)	상수치_통합형-0101-01_IP-20N-11G-(1/2) 
12420	MW	558	CTR	CTR-8312	도초중_MDM-0101-02_CTR-8312-11G-(1/2)	도초중_MDM-0101-02_CTR-8312-11G-(1/2) 
12421	MW	554	CTR	CTR-8312	대야도_MDM-0101-01_CTR-8312-11G-(1/2)	대야도_MDM-0101-01_CTR-8312-11G-(1/2) 
12422	MW	558	CTR	CTR-8312	도초중_MDM-0101-01_CTR-8312-11G-(1/2)	도초중_MDM-0101-01_CTR-8312-11G-(1/2) 
12423	MW	586	CTR	CTR-8312	신도(목포)_MDM-0101-01_CTR-8312-11G-(1/2)	신도(목포)_MDM-0101-01_CTR-8312-11G-(1/2) 
